,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
theta[27],0.033,0.015,0.008,0.062,0.0,0.0,29099.0,17373.0,36495.0,11706.0,1.0
theta[28],0.875,0.035,0.81,0.938,0.0,0.0,28413.0,28413.0,31448.0,10487.0,1.0
theta[29],0.801,0.04,0.728,0.876,0.0,0.0,30210.0,30210.0,31310.0,10832.0,1.0
theta[30],0.682,0.04,0.608,0.759,0.0,0.0,30498.0,30498.0,30478.0,10657.0,1.0
theta[31],0.487,0.035,0.422,0.552,0.0,0.0,29479.0,28960.0,29494.0,10974.0,1.0
theta[32],0.295,0.04,0.217,0.366,0.0,0.0,32215.0,30048.0,32502.0,10902.0,1.0
theta[33],0.18,0.038,0.107,0.252,0.0,0.0,31970.0,25928.0,33367.0,10761.0,1.0
theta[34],0.11,0.033,0.05,0.171,0.0,0.0,29698.0,20704.0,33659.0,11007.0,1.0
theta[35],0.987,0.009,0.971,0.999,0.0,0.0,21473.0,21473.0,32219.0,10739.0,1.0
theta[36],0.957,0.021,0.919,0.991,0.0,0.0,26994.0,26994.0,32465.0,10615.0,1.0
theta[37],0.849,0.04,0.774,0.923,0.0,0.0,32216.0,32216.0,33041.0,10615.0,1.0
theta[38],0.449,0.044,0.366,0.532,0.0,0.0,31159.0,30942.0,31164.0,11155.0,1.0
theta[39],0.093,0.033,0.035,0.154,0.0,0.0,26892.0,20661.0,27450.0,10503.0,1.0
theta[40],0.021,0.013,0.002,0.045,0.0,0.0,21956.0,13816.0,27431.0,11187.0,1.0
theta[41],0.005,0.005,0.0,0.013,0.0,0.0,17307.0,11677.0,27429.0,11236.0,1.0
theta[42],0.993,0.006,0.983,1.0,0.0,0.0,20264.0,20264.0,28727.0,11988.0,1.0
theta[43],0.973,0.016,0.945,0.997,0.0,0.0,24974.0,24974.0,28663.0,11486.0,1.0
theta[44],0.889,0.036,0.821,0.953,0.0,0.0,28500.0,28500.0,28482.0,12065.0,1.0
theta[45],0.516,0.045,0.429,0.598,0.0,0.0,29105.0,28700.0,29122.0,10912.0,1.0
theta[46],0.129,0.037,0.061,0.198,0.0,0.0,33302.0,25083.0,34899.0,11378.0,1.0
theta[47],0.034,0.018,0.005,0.066,0.0,0.0,26828.0,15403.0,35151.0,11363.0,1.0
theta[48],0.009,0.007,0.0,0.022,0.0,0.0,20360.0,11627.0,35177.0,11172.0,1.0
theta[49],0.967,0.016,0.937,0.994,0.0,0.0,26190.0,26190.0,32725.0,11268.0,1.0
theta[50],0.92,0.028,0.867,0.969,0.0,0.0,30275.0,30275.0,32684.0,11173.0,1.0
theta[51],0.799,0.041,0.722,0.875,0.0,0.0,32546.0,32546.0,32586.0,11343.0,1.0
theta[52],0.484,0.038,0.413,0.557,0.0,0.0,31881.0,31362.0,31890.0,10858.0,1.0
theta[53],0.177,0.037,0.105,0.244,0.0,0.0,31537.0,26754.0,32469.0,11927.0,1.0
theta[54],0.067,0.024,0.026,0.113,0.0,0.0,28332.0,19395.0,32669.0,11903.0,1.0
theta[55],0.026,0.014,0.004,0.05,0.0,0.0,24044.0,14998.0,32724.0,11725.0,1.0
theta[56],1.0,0.001,0.999,1.0,0.0,0.0,14184.0,14184.0,17445.0,7950.0,1.0
theta[57],0.998,0.004,0.991,1.0,0.0,0.0,17471.0,17471.0,17527.0,7950.0,1.0
theta[58],0.973,0.023,0.931,1.0,0.0,0.0,22881.0,22881.0,17712.0,7972.0,1.0
theta[59],0.507,0.063,0.393,0.627,0.0,0.0,24351.0,22540.0,24633.0,10739.0,1.0
theta[60],0.028,0.021,0.001,0.065,0.0,0.0,23869.0,16205.0,22169.0,9710.0,1.0
theta[61],0.002,0.003,0.0,0.008,0.0,0.0,16781.0,12466.0,21511.0,9855.0,1.0
theta[62],0.0,0.001,0.0,0.001,0.0,0.0,13476.0,12829.0,21312.0,9929.0,1.0
theta[63],0.993,0.006,0.982,1.0,0.0,0.0,18913.0,18913.0,27505.0,10507.0,1.0
theta[64],0.973,0.016,0.943,0.997,0.0,0.0,23646.0,23646.0,27665.0,10457.0,1.0
theta[65],0.889,0.037,0.823,0.958,0.0,0.0,28075.0,28075.0,28129.0,10865.0,1.0
theta[66],0.514,0.045,0.431,0.602,0.0,0.0,34053.0,33798.0,34093.0,11096.0,1.0
theta[67],0.126,0.036,0.06,0.193,0.0,0.0,34296.0,27214.0,34846.0,11212.0,1.0
theta[68],0.033,0.017,0.006,0.063,0.0,0.0,27941.0,16951.0,33378.0,11051.0,1.0
theta[69],0.009,0.007,0.0,0.021,0.0,0.0,21688.0,13023.0,32911.0,10951.0,1.0
theta[70],0.988,0.009,0.973,0.999,0.0,0.0,22633.0,22633.0,30283.0,11131.0,1.0
theta[71],0.961,0.019,0.925,0.993,0.0,0.0,27085.0,27085.0,30224.0,11144.0,1.0
