Condition,SOA,Repetitions,Count,Relative
0,-150,32,29,0.90625
0,-100,32,27,0.84375
0,-50,32,22,0.6875
0,0,32,11,0.34375
0,50,32,9,0.28125
0,100,32,3,0.09375
0,150,32,3,0.09375
