Condition,SOA,Repetitions,Count,Relative
0,-150,32,32,1.0
0,-100,32,31,0.96875
0,-50,32,32,1.0
0,0,32,18,0.5625
0,50,32,2,0.0625
0,100,32,0,0.0
0,150,32,0,0.0
