Condition,SOA,Repetitions,Count,Relative
0,-150,32,32,1.0
0,-100,32,32,1.0
0,-50,32,32,1.0
0,0,32,12,0.375
0,50,32,2,0.0625
0,100,32,0,0.0
0,150,32,0,0.0
