Condition,SOA,Repetitions,Count,Relative
0,-150,32,32,1.0
0,-100,32,31,0.96875
0,-50,32,29,0.90625
0,0,32,15,0.46875
0,50,32,3,0.09375
0,100,32,1,0.03125
0,150,32,1,0.03125
