Condition,SOA,Repetitions,Count,Relative
0,-150,32,29,0.90625
0,-100,32,25,0.78125
0,-50,32,18,0.5625
0,0,32,22,0.6875
0,50,32,6,0.1875
0,100,32,7,0.21875
0,150,32,3,0.09375
