Condition,SOA,Repetitions,Count,Relative
0,-150,32,32,1.0
0,-100,32,30,0.9375
0,-50,32,30,0.9375
0,0,32,18,0.5625
0,50,32,4,0.125
0,100,32,2,0.0625
0,150,32,3,0.09375
