Condition,SOA,Repetitions,Count,Relative
0,-150,32,28,0.875
0,-100,32,21,0.65625
0,-50,32,22,0.6875
0,0,32,15,0.46875
0,50,32,13,0.40625
0,100,32,8,0.25
0,150,32,9,0.28125
